drink_id,ingredient
0,Southern Comfort
0,Amaretto
0,Sloe gin
0,Lemon juice
1,Amaretto
1,Orange juice
1,Grenadine
2,Jack Daniels
2,Midori melon liqueur
2,Sour mix
3,Bailey's irish cream
3,Grand Marnier
3,Kahlua
4,Light rum
4,Triple sec
4,Banana
4,Lime juice
4,Sugar
4,Cherry
5,Ale
5,Guinness stout
6,Vodka
6,Tomato juice
6,Lemon juice
6,Worcestershire sauce
6,Tabasco sauce
6,Lime
7,Brandy
7,Creme de Cacao
7,Light cream
7,Nutmeg
8,Light rum
8,Lime
8,Coca-Cola
9,Light rum
9,Lime
9,Powdered sugar
10,Vodka
10,Dry Vermouth
10,Olive Brine
10,Lemon
10,Olive
11,Gin
11,Sugar
11,Lemon juice
11,Champagne
11,Orange
11,Maraschino cherry
12,Gin
12,Tonic water
12,Lime
13,Green Creme de Menthe
13,Creme de Cacao
13,Light cream
14,Vodka
14,Galliano
14,Orange juice
15,Absolut Vodka
15,Cointreau
15,Lemon
16,Light rum
16,Orgeat syrup
16,Triple sec
16,Sweet and sour
16,Cherry
17,Sweet Vermouth
17,Bourbon
17,Angostura bitters
17,Ice
17,Maraschino cherry
17,Orange peel
18,Tequila
18,Triple sec
18,Lime juice
18,Salt
19,Champagne
19,Orange juice
20,Light rum
20,Lime
20,Sugar
20,Mint
20,Soda water
21,Vodka
21,Lime juice
21,Ginger ale
22,Light rum
22,Coconut milk
22,Pineapple
23,Pisco
23,Lemon juice
23,Sugar
23,Ice
24,Cognac
24,Cointreau
24,Lemon juice
25,Tequila
25,Orange juice
25,Grenadine
26,Gin
26,Lemon juice
26,Sugar
26,Club soda
26,Maraschino cherry
26,Orange
