name,strCategory,glassType,categories,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,instructions,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6
Alabama Slammer,Ordinary Drink,Highball glass,,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",1 oz ,1 oz ,1/2 oz ,1 dash , , 
Amaretto Sunrise,Ordinary Drink,Collins Glass,,Amaretto,Orange juice,Grenadine,,,,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,1 cl ,4 oz ,1/4 cl , , , 
Applejack,Cocktail,Cocktail glass,,Jack Daniels,Midori melon liqueur,Sour mix,,,,"Add all ingredients into mixing glass, chill and strain into cocktail glass",1 oz ,1/2 oz ,2 oz , , , 
B-52,Shot,Shot glass,New Era Drinks,Bailey's irish cream,Grand Marnier,Kahlua,,,,Layer ingredients into a shot glass. Serve with a stirrer.,3-Jan,3-Jan,4-Jan, , , 
Banana Daiquiri,Ordinary Drink,Champagne flute,,Light rum,Triple sec,Banana,Lime juice,Sugar,Cherry,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 1/2 oz ,1 tblsp ,1,1 1/2 oz ,1 tsp ,1
Black & Tan,Beer,Pint glass,,Ale,Guinness stout,,,,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,1 part Bass pale ,1 part , , , , 
Bloody Mary,Ordinary Drink,Old-fashioned glass,Contemporary Classics,Vodka,Tomato juice,Lemon juice,Worcestershire sauce,Tabasco sauce,Lime,"Stirring gently, pour all ingredients into highball glass. Garnish.",1 1/2 oz ,3 oz ,1 dash ,1/2 tsp ,2-3 drops ,1 wedge 
Brandy Alexander,Ordinary Drink,Cocktail glass,,Brandy,Creme de Cacao,Light cream,Nutmeg,,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,1 oz ,1 oz white ,1 oz ,"
","
","
"
Cuba Libre,Ordinary Drink,Highball glass,Contemporary Classics,Light rum,Lime,Coca-Cola,,,,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,2 oz ,Juice of 1/2 ,,,,
Daiquiri,Ordinary Drink,Cocktail glass,,Light rum,Lime,Powdered sugar,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,1 1/2 oz ,Juice of 1/2 ,1 tsp , , , 
